Prefixes transited per AS (Global)
----------------------------------

  ASN   No of nets  Description
 9824      109      JTCL-JP-AS Jupiter Telecommunication Co
28642      109      Contato Internet EIRELI, BR
33132      109      FPL-FIBERNET - FPL FiberNet, LLC, US
58461      109      CT-HANGZHOU-IDC No.288,Fu-chun Road, CN
 9885      108      NKN-INTERNET-GW NKN INTERNET GATEWAY NE
10913      108      INTERNAP-BLK - Internap Network Service
47605      108      FNE-AS , FI
63119      108      AS-63119 - netirons, US
 8075      107      MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft
 8100      107      ASN-QUADRANET-GLOBAL - QuadraNet, Inc, 
52720      107      WEBFOCO TELECOMUNICACOES LTDA, BR
12491      106      IPPLANET-AS , IL
24475      106      THAIREN-TRANSIT-AS-AP ThaiREN.Thailand 
45845      106      NEPAL-IIG-AS NEPAL INTERNATIONAL INTERN
  270      105      AS270 - National Aeronautics and Space 
 3327      105      LINXTELECOM Linx Telecommunications B.V
21502      105      ASN-NUMERICABLE , FR
28745      105      SUTTK-AS , RU
 8657      104      MEO-INTERNACIONAL MEO - SERVICOS DE COM
31877      104      GPW - GEORGIA PUBLIC WEB, INC., US
45458      104      SBN-AWN-AS-02-AP SBN-ISP/AWN-ISP and SB
59796      104      STORMSYSTEMS-AS , RU
 1103      103      SURFNET-NL SURFnet, The Netherlands, NL
 4789      103      CERNAP1-CN NAP1 at CERNET, CN
 9286      103      KINXIDC-AS-KR KINX, KR
11164      103      INTERNET2-TRANSITRAIL-CPS - Internet2, 
26592      103      EQUINIX BRASIL RJ, BR
32703      103      IFN-NET - Indiana Fiber Network, LLC, U
 9822      102      AMNET-AU-AP Amnet IT Services Pty Ltd, 
12713      102      OTEGLOBE 6-8 Agisilaou Str., 15123 Maro
21688      102      GMP-METROCAST - GMP Cable TV, US
43260      102      DGN , TR
52551      102      SAMM Sociedade de Atividades em Multimi
 9902      101      NEOCOMISP-KH-AP NEOCOMISP LIMITED, IPTX
12615      101      GCN-AS ********************************
14745      101      INTERNAP-BLOCK-4 - Internap Network Ser
19429      101      ETB - Colombia, CO
 3597      100      Fundación InnovaT, AR
 9155      100      QNET Kuwait, KW
14041      100      AS14041 - University Corporation for At
27067      100      DNIC-ASBLK-27032-27159 - DoD Network In
28716      100      RETELIT-AS Internet Service Provider, I
36086      100      TELX-LEGACY - Telx, US
 4694       99      IDC Yahoo Japan Corporation, JP
 8501       99      PIONIER-AS PIONIER, National Research a
13194       99      BITE Bite IP Network, LT
15296       99      CYBERA - Cybera Inc, CA
16150       99      PORT80-GLOBALTRANSIT , SE
29632       99      NASSIST-AS , UA
31242       99      TKPSA-AS , PL
37678       99      BOFINET, BW
61889       99      BRASIL DIGITAL TELECOMUNICACOES LTDA, B
  600       98      OARNET-AS - OARnet, US
 6471       98      ENTEL CHILE S.A., CL
 7497       98      CSTNET-AS-AP Computer Network Informati
16851       98      NEBRASKALINK - NebraskaLink, US
39737       98      NETVISION-AS , RO
43754       98      ASIATECH , IR
52871       98      TASCOM TELECOMUNICAÇÕES LTDA, BR
10010       97      TOKAI TOKAI Communications Corporation,
14877       97      PENNREN - KINBER, US
31500       97      GLOBALNET-AS , RU
45903       97      CMCTI-AS-VN CMC Telecom Infrastructure 
  260       96      XCONNECT24 - Xconnect24 Inc., US
 2110       96      AS-BTIRE BT Ireland was previously know
12252       96      America Movil Peru S.A.C., PE
17762       96      HTIL-TTML-IN-AP Tata Teleservices Mahar
20860       96      IOMART-AS , GB
30990       96      ADJIB-AS, DJ
12670       95      AS-COMPLETEL , FR
32105       94      NEPHOS3 - NephoScale Inc., US
14793       93      API-DIGITAL - API Digital Communication
18059       93      DTPNET-AS-AP DTPNET NAP, ID
24538       93      DIGISATNET-AS-ID DIGITAL SATELLITE INDO
  575       92      DNIC-AS-00575 - Headquarters, USAISC, U
 5563       92      URAL Ural Regional Net, RU
15169       92      GOOGLE - Google Inc., US
28186       92      ITS TELECOMUNICAÇÕES LTDA, BR
47872       92      SOFIA-CONNECT-AS , BG
  376       91      RISQ-AS - Reseau d'informations scienti
 6908       91      DATAHOP Datahop - International IP Back
11351       91      RR-NYSREGION-ASN-01 - Time Warner Cable
13999       91      Mega Cable, S.A. de C.V., MX
37084       91      simbanet-tz, TZ
55002       91      DEFENSE-NET - Defense.Net, Inc, US
  549       90      GTANET-AS - GTAnet Networking, CA
 5715       90      ONVOY-CO - Onvoy, US
24088       90      HANOITELECOM-AS-AP Hanoi Telecom Joint 
29075       90      IELO IELO Main Network, FR
 4557       89      SOUTHEAST-TEXAS-GIGAPOP - Rice Universi
 7533       89      NETO Neto Corporation, TW
 7670       89      CTNET Energia Communications, Inc., JP
19271       89      PEAK10 - Peak 10, US
23314       89      ORLANDOTELCO - Summit Broadband, US
26744       89      PRTC - Planters Rural Telephone Coopera
27552       89      TWDX - TowardEX Technologies Internatio
43205       89      BULSATCOM-BG-AS Sofia, BG
 7539       88      TANET2-TW TANet2, sponsored by NSC, TAI
13979       88      ATT-IPFR - AT&T Services, Inc., US
19092       88      360NETWORKS-US - 360Networks (USA) Inc.
42313       88      ALBTELECOM-AS , AL
43994       88      SMARTNET-AS , KZ
 1541       87      DNIC-ASBLK-01534-01546 - Headquarters, 
 6045       87      DNIC-ASBLK-05800-06055 - DoD Network In
 8473       87      BAHNHOF http://www.bahnhof.net/, SE
11758       87      IRISNETWORKS - IRIS Networks, US
16509       87      AMAZON-02 - Amazon.com, Inc., US
28173       87      Dinâmica Telecomunicações Ltda, BR
29414       87      ASN-BIAMAN-COM MSK BIAMAN, PL
42555       87      OPTIC-COM-EU , BG
52280       87      INTERNEXA Chile S.A., CL
 2854       86      ROSPRINT-AS , RU
17623       86      CNCGROUP-SZ China Unicom Shenzen networ
18779       86      EGIHOSTING - EGIHosting, US
25761       86      STAMINUS-COMM - Staminus Communications
28118       86      Orange Dominicana, DO
  786       85      JANET Jisc Services Limited, GB
 8612       85      TISCALI-IT , IT
 8932       85      UCOMINT , AM
 9268       85      OVERTHEWIRE-AS-AP Over The Wire Pty Ltd
16713       85      NOANET-WA - Northwest Open Access Netwo
28220       85      CABO SERVICOS DE TELECOMUNICACOES LTDA,
38726       85      VTCDIGICOM-AS-VN Digital Communications
43727       85      KVANT-TELECOM , RU
45528       85      TDN Tikona Digital Networks Pvt Ltd., I
62943       85      AS62943-BLUEBIRD-NETWORK - Bluebird Net
 4800       84      LINTASARTA-AS-AP Network Access Provide
11796       84      AIRSTREAMCOMM-NET - Airstream Communica
19050       84      TIC-DHHS-INTERIOR - U.S. Department of 
21574       84      Century Telecom Ltda, BR
38757       84      ICONPLN-ID-AP PT. Indonesia Comnets Plu
 6799       83      OTENET-GR Athens - Greece, GR
 6910       83      DIALTELECOMRO , RO
 8517       83      ULAKNET , TR
 9942       83      COMINDICO-AP SOUL Converged Communicati
19782       83      INDIANAGIGAPOP - Indiana University, US
41426       83      SAUDIDATASTC-AS , SA
  271       82      BCNET-AS - BCnet, CA
 1554       82      DNIC-ASBLK-01550-01601 - DoD Network In
 2018       82      TENET-1, ZA
 2518       82      BIGLOBE BIGLOBE Inc., JP
12083       82      WOW-INTERNET - WideOpenWest Finance LLC
19009       82      ONECLEVELAND - OneCleveland, US
25369       82      BANDWIDTH-AS , GB
12586       81      ASGHOSTNET , DE
14742       81      INTERNAP-BLOCK-4 - Internap Network Ser
19893       81      RAGINGWIRE - RagingWire Data Centers, I
23243       81      COMCEL GUATEMALA S.A., GT
24514       81      MYREN-MY Malaysian Research & Education
25615       81      BBV - Broadband Visions, LLC, US
45194       81      SIPL-AS Syscon Infoway Pvt. Ltd., IN
   81       80      NCREN - MCNC, US
10835       80      VISIONARY - Visionary Communications, I
22653       80      GLOBALCOMPASS - Cyber Wurx LLC, US
24631       80      TORANGE-FCP , IR
32440       80      LONI - Louisiana Board of Regents/Louis
38616       80      WORLDCALL-AS-KHI Worldcall Telecom Limi
41095       80      IPTP , NL
 4538       79      ERX-CERNET-BKB China Education and Rese
20077       79      IPNETZONE-ASN - IPNetZone, US
43531       79      IXREACH , GB
   57       78      NL-GIGAPOP - University of Minnesota, U
 9145       78      EWETEL Cloppenburger Strasse 310, DE
10201       78      DWL-AS-IN Dishnet Wireless Limited. Bro
16322       78      PARSONLINE Tehran - IRAN, IR
18390       78      SPIN-INTERNET-AP Spin Internet Service,
28310       78      SMART TELECOMUNICAÇÕES E SERVIÇOS EIREL
49685       78      ITIS-AS Signet B.V., NL
 7381       77      SUNGARDRS - SunGard Availability Servic
 8492       77      OBIT-AS "OBIT" Ltd., RU
 9658       77      ETPI-IDS-AS-AP Eastern Telecoms Phils.,
12301       77      INVITEL , HU
16863       77      HOMESC - Home Telephone Company, Inc., 
28263       77      Ensite Brasil Telecomunicações Ltda - M
29208       77      DIALTELECOM-AS AMS-IX, LINX, SK
38182       77      EXTREMEBB-AS-MY Extreme Broadband - Tot
52579       77      Noroestecom Telecomunicacoes Ltda, BR
 4750       76      CSLOXINFO-AS-AP CS LOXINFO PUBLIC COMPA
 5578       76      GTS-SK-AS Bratislava, Slovak Republic, 
 6700       76      BEOTEL-AS http://www.beotel.net, RS
15964       76      CAMNET-AS, CM
27947       76      Telconet S.A, EC
33363       76      BHN-TAMPA - BRIGHT HOUSE NETWORKS, LLC,
44285       76      SHAHRAD-AS AS6736 - IRANET-IPM, IR
 6034       75      DNIC-ASBLK-05800-06055 - DoD Network In
 7106       75      OHIOBRIGHTNET - Com Net, Inc., US
 9443       75      INTERNETPRIMUS-AS-AP Primus Telecommuni
10223       75      UECOMM-AU Uecomm Ltd, AU
20850       75      VALORKIEV-AS Kharkov, Ukraine, UA
28545       75      Cablemas Telecomunicaciones SA de CV, M
28968       75      EUT-AS EUT IP Network, RU
29518       75      BREDBAND2 , SE
52308       75      AGUAS DEL COLORADO SAPEM, AR
62067       75      TELECOM-SERVICE-AS , RU
  768       74      DNIC-AS-00768 - Navy Network Informatio
 7617       74      CTM-HK CTM (HK) Limited, HK
20632       74      PETERSTAR-AS Saint-Petersburg, RU
22381       74      Megatelecom Telecomunicacoes Ltda, BR
24626       74      TTKNN-AS , RU
27742       74      Amnet Telecomunicaciones S.A., NI
49074       74      TECHNOLOGICAL , RO
10103       73      HKBN-AS-AP HK Broadband Network Ltd., H
20928       73      NOOR-AS, EG
24482       73      SGGS-AS-AP SG.GS, SG
25144       73      TELEKOM-SRPSKE-AS Kralja Petra I Karadj
33597       73      INFORELAY - InfoRelay Online Systems, I
58511       73      CONNECTIVITYIT-AU Connectivity IT Pty L
 8595       72      WESTCALL-AS , RU
 9264       72      ASNET Academic Sinica Network, TW
 9329       72      SLTINT-AS-AP Sri Lanka Telecom Internet
33576       72      DIG001 - Digicel Jamaica, JM
41881       72      FANAVA-AS Fanava Group Communication Co
49063       72      DTLN , RU
 7016       71      CCCH-3 - Comcast Cable Communications, 
21547       71      OXNET - Oxford Networks, US
30517       71      GREAT-LAKES-COMNET - Great Lakes Comnet
38456       71      PACTEL-AS-AP Pacific Teleports., AU
39216       71      ALSARD , IQ
53224       71      WEB NET COMERCIO DE EQUIPAMENTOS LTDA, 
13591       70      Brasil Telecom Comunicação Multimidia, 
17439       70      NETMAGIC-AP Netmagic Datacenter Mumbai,
18001       70      DIALOG-AS Dialog Axiata PLC., LK
56466       70      ZENTEX , IR
  306       69      DNIC-ASBLK-00306-00371 - DoD Network In
34779       69      T-2-AS AS set propagated by T-2, d.o.o.
  719       68      ELISA-AS Helsinki, Finland, FI
 3261       68      DIPT-AS , UA
 7342       68      VERISIGN-AS - VeriSign Infrastructure &
13293       68      PIONIER-AS-COM PIONIER, PL
16814       68      NSS S.A., AR
23930       68      IPVG-AS-AP IP-Converge Data Center, Inc
28260       68      Altarede de Teresopolis Provedor de Int
34309       68      LINK11 Link11 GmbH, DE
44237       68      CTC-CORE-AS , RU
49544       68      INTERACTIVE3D , NL
12400       67      PARTNER-AS , IL
12479       67      UNI2-AS , ES
26210       67      AXS Bolivia S. A., BO
  276       66      OTS-AS-276 - University of Texas System
 2675       66      CDAGOVN - Shared Services Canada, CA
10753       66      LVLT-10753 - Level 3 Communications, In
14754       66      Telgua, GT
19752       66      HYDROONETELECOM - Hydro One Telecom Inc
25408       66      WESTCALL-SPB-AS , RU
26769       66      BANDCON - Bandcon, US
38794       66      UIH-BBB-AS-AP UIH / BB Broadband, TH
 4610       65      ODYSSEY-NZ-AP Odyssey Networks New Zeal
11426       65      SCRR-11426 - Time Warner Cable Internet
12025       65      IO-DATA-CENTERS - IO Capital Princess, 
20960       65      TKTELEKOM-AS , PL
25956       65      ALPHEUS - Alpheus Data Services, L.L.C.
43350       65      NFORCE , NL
44267       65      IESV , RU
 1251       64      FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO
 8437       64      UTA-AS , AT
 8997       64      ASN-SPBNIT Macro Region North-West Auto
13110       64      INEA-AS , PL
15774       64      TTK-RTL Retail, RU
15835       64      MAP Moscow Network Access Point, RU
20773       64      HOSTEUROPE-AS , DE
31287       64      IPACCT-AS , BG
 3302       63      INFRACOM-NETWORK-APPLICATION-AS , IT
 6648       63      BAYAN-TELECOMMUNICATIONS Bayan Telecomm
 8895       63      ISU-RUH Central region of Saudi Arabia 
13876       63      FIBER-64 - FiberLight, LLC, US
14744       63      INTERNAP-BLOCK-4 - Internap Network Ser
15085       63      IMMEDION - Immedion, LLC, US
18206       63      VPIS-AP VADS Managed Business Internet 
21351       63      CANALPLUSTELECOM , FR
22573       63      NWTEL - Northwestel Inc., CA
28126       63      BRISANET SERVICOS DE TELECOMUNICACOES L
28910       63      INTAL-ASN UZ, UA
33651       63      CMCS - Comcast Cable Communications, LL
38001       63      NEWMEDIAEXPRESS-AS-AP NewMedia Express 
39792       63      ANDERS-AS Anders Telecom Ltd., RU
14282       62      PERSIS TELECOM, BR
19406       62      TWRS-MA - Towerstream I, Inc., US
25229       62      VOLIA-AS , UA
30023       62      CYRUSONE-CIN - CyrusOne LLC, US
34772       62      NEOTEL-AS-MK , MK
58599       62      CYBERGATE-BD Cybergate Limited, BD
58678       62      INTECHONLINE-IN Intech Online Private L
 1853       61      ACONET ACOnet Backbone, AT
 5050       61      PSC-EXT - Pittsburgh Supercomputing Cen
 9255       61      CONNECTPLUS-AS Singapore Telecom, SG
 9842       61      LDCC-AS Lotte Data Communication Compan
20207       61      Gigared S.A., AR
24534       61      TRANSHYBRID-AS-ID PT. Transhybrid Commu
27817       61      Red Nacional Académica de Tecnología Av
55725       61      SUNHK-DATA-AS-AP Sun Network (Hong Kong
  251       60      KAIAGLOBAL-AS Kaia Global Networks Ltd.
 8470       60      MACOMNET , RU
11317       60      GPN - Great Plains Network, US
16724       60      WOW-DATACENTER-NET - WideOpenWest Finan
25180       60      EXPONENTIAL-E-AS , GB
34250       60      UZTELECOM-AS , UZ
44395       60      ORG-UL31-RIPE , AM
 4922       59      SHENTEL - Shentel Communications, LLC, 
 7782       59      ALSK-7782 - Alaska Communications Syste
 8615       59      CNT-AS Moscow, Russia, RU
 9911       59      CONNECTPLUS-AP Singapore Telecom, SG
13285       59      OPALTELECOM-AS TalkTalk Communications 
17054       59      AS17054 - CONTINENTAL BROADBAND PENNSYL
20454       59      SSASN2 - SECURED SERVERS LLC, US
21385       59      TNIB Trusted Network GmbH, DE
24516       59      VIRTUTEL-AS-AP Virtutel Pty Ltd, AU
26105       59      Cable Onda, PA
27138       59      DNIC-ASBLK-27032-27159 - DoD Network In
28761       59      CRIMEACOM-LLC CrimeaCom LTD. Autonomous
44889       59      AZMA-AS , IR
51028       59      SVOLS ======Uplinks======, RU
51034       59      WEACOM-AS , RU
59318       59      SINET-KH SINET Fiber One, Cambodia's Fa
 6661       58      EPT-LU Entreprise des P. et T. Luxembou
 6768       58      EUROTEL-AS , UA
 6802       58      UNICOM-B-AS NREN - Bulgaria, BG
18351       58      MEDIAAKSES-AS PT Media Akses Global Ind
21548       58      MTO - COGECODATA, CA
23724       58      CHINANET-IDC-BJ-AP IDC, China Telecommu
52770       58      REVO TELECOMUNICAÇÕES LTDA, BR
60610       58      EVEREST-AS , GB
 4270       57      Red de Interconexion Universitaria, AR
 5602       57      Internet Service Provider, IT
14492       57      DATAPIPE - DataPipe, Inc., US
17231       57      ATT-CERFNET-BLOCK - AT&T Enhanced Netwo
21859       57      ZNET - Zenlayer Inc, US
28666       57      HOSTLOCATION LTDA, BR
32592       57      HT-HB32592 - HuntTel, US
43022       57      UA-SEECH Zaporozhye, Lenina av. 170b, U
 2116       56      ASN-CATCHCOM , NO
28158       56      Ampernet Telecomunicações Ltda, BR
30496       56      COLO4 - Colo4, LLC, US
39326       56      HSO-GROUP , GB
42652       56      DELUNET , DE
45184       56      DEN-ISP-AS-IN-AP Den Digital Entertainm
47809       56      EAST-AS , UA
49100       56      IR-THR-PTE , IR
 8308       55      NASK-COMMERCIAL , PL
10143       55      EXETEL-AS-AP Exetel Pty Ltd, AU
12843       55      TELEMAXX , DE
15802       55      DU-AS1 , AE
22356       55      Durand do Brasil Ltda, BR
24323       55      AAMRA-NETWORKS-AS-AP aamra networks lim
