15M          Fifteen minutes
CP           Communication processor (SARTS)
CP           Concentrator identifier signaling link INTER/TRA blocal 1-26
CP           Control program
CPA          Centralized/bulk power architecture
CPC          Cellular phone company
CPC          Circuit provision center
CPC          Circuit provisioning center
CPC          Circuit provisioning center (special services design group)
CPCE         Common peripheral controller equipment
CPD          Central pulse distributor
CPD          Common packet data channels
CPE          Customer premise equipment
CPE          Customer premises equipment
CPG          Call progress (SS7: in ISUP)
CPH          Cost per hour
CPI          COSMOS-premis interface
CPI          Computer private branch exchange interface
CPIE         CP or AM intervention interrupt error
CPM          COSMOS performance monitor
CPM          Citcuit pack module
CPM          Cost per minute
CPMP         Carrier performance measurement plan
CPS          Cycles per second
CPU          CCS capacity usage
CPU          Call pick up
CPU          Call pickup group
CPU          Central processing unit
CQM          Circuit group query (SS7: in ISUP)
CQR          CQM response
CR           Carriage return
CR           Control Record
CR           Control response
CR           OCC backup facility INTER/TRA blocal 1-26
CRAS         Cable repair administrative system
CRC          Customer record center
CRC          Cyclic redundancy check
CRCOK        CRC ok!  (C/I channel code)
CRE          Create
CRED         Credit card calling (i.256 a)
CREF         Connection refused
CREG         Concentrated range extension with gain
CRF          Continuity recheck failure (outgoing)
CRFMP        Cable repair force management plan
CRG          Creg tag
CRIS         Customer records information system
CROT         Centralized automatic reporting of trunks  (NTI)
CRR          Reset received (incoming)
CRS          Centralized results system
CRSAB        Centralized repair service answering bureau
CRST         Specific carrier restricted
CRT          Cathode ray tube
CRT          Cathode-ray tube
CRTM         Central office regular call processing timing  (NTI)
CS           Cable switching
CS           Call Store
CS           Channel service INTER/TRA blocal 1-26
CS           Conducted susceptibility (EMS)
CS           Customer class of service
CSA          Carrier serving area
CSACC        Customer service administration control center
CSAR         Centralized system for analysis and reporting
CSAR         Centralized system for analysis reporting
CSC          Cell site controller
CSD          Circuit specific data
CSDC         Circuit switched digital capability
CSDN         Circuit-switched data network (t.70)
CSF          Critical short form
CSMA/        Carrier sense multiple access
CSMCC        Complex services maintenance control center
CSNET        Computer science network
CSO          Central services organization
CSO          Cold start only (in eoc)
CSP          Coin sent paid
CSP          Coin set paid
CSPDN        Circuit-switched public data network
CSR          Clock shift register
CSR          Customer service records
CSS          Computer sub-system
CSS          Computer subsystem
CSS          Customer service system
CSSC         Customer service system center
CST          Call state  or  current state   or  change state (QUASI SDL)
CST          Combined services terminal
CSU          Channel service unit
CSUS         Centralized automatic message accounting suspension (NTI)
CT           Call transfer (i.252 a)
CT           Control terminal
CT           SSN tie trunk INTER/TRA blocal 1-26
CT01         Manually requested trace line to line information follows - 1AESS
CT02         Manually requested trace line to trunk information follows - 1AESS
CT03         Intraoffice call placed to a number with CLID - 1AESS call trace
CT04         Interoffice call placed to a number with CLID - 1AESS call trace
CT05         Call placed to number on the ci list - 1AESS call trace
CT06         Contents of the CI list - 1AESS call trace
CT07         ACD related trace - 1AESS call trace
CTC          Central test center
CTC          Centralized test center (DDS)
CTC          Centralized testing center
CTC          Complete a cable transfer or complete a cable throw
CTD          Circuit test data
CTE          Cable throw order establishment
CTF          Display the contacter-transducer file
CTI          Circuit termination identification
CTL          Cable throw with line equipment assignment
CTL          Central operator control
CTM          Cable throw modification
CTM          Contac trunk module
CTMC         Communications terminal module controller
CTMS         Carrier transmission measuring system
CTO          Call transfer outside
CTO          Continuity timeout (incoming)
CTP          Print cable transfer frame work
CTR          Cable throw replacement
CTS          Cable throw summary
CTS          Call through simulator
CTS          Clear to send
CTSS         Cray time sharing system
CTT          Cartridge tape transport
CTT          Cut through tag
CTTC         Cartridge tape transport controller
